key;nubKey;nameKey;scientificName;canonicalName;species;vernacularName
220011714;3190538;9813060;Rhus typhina L.;Rhus typhina;Rhus typhina;fluweelboom
220011715;3039194;8277734;Parthenocissus quinquefolia (L.) Planch.;Parthenocissus quinquefolia;Parthenocissus quinquefolia;vijfbladige wingerd
220011716;7889822;10601262;Spiraea ×billardii Hérincq;Spiraea billardii;Spiraea billardii;Billardspiraea
220011717;3021496;9279484;Prunus laurocerasus L.;Prunus laurocerasus;Prunus laurocerasus;laurierkers
220011718;3003979;9891904;Rosa rugosa Thunb.;Rosa rugosa;Rosa rugosa;rimpelroos
220011719;3026585;10598256;Spiraea alba Du Roi;Spiraea alba;Spiraea alba;witte spirea
220011720;2870583;8798737;Pistia stratiotes L.;Pistia stratiotes;Pistia stratiotes;watersla
220011721;5389017;10482012;Solidago gigantea Aiton;Solidago gigantea;Solidago gigantea;late guldenroede
220011722;2996525;9915780;Rubus armeniacus Focke;Rubus armeniacus;Rubus armeniacus;dijkviltbraam
220011723;5352251;9866636;Robinia pseudoacacia L.;Robinia pseudoacacia;Robinia pseudoacacia;gewone robinia
220011724;3189866;105381;Acer negundo L.;Acer negundo;Acer negundo;vederesdoorn
220011725;3190653;372699;Ailanthus altissima (Mill.) Swingle;Ailanthus altissima;Ailanthus altissima;hemelboom
220011726;3084923;483831;Alternanthera philoxeroides (Mart.) Griseb.;Alternanthera philoxeroides;Alternanthera philoxeroides;alligatorkruid
220011727;5328593;856326;Aponogeton distachyos L.f.;Aponogeton distachyos;Aponogeton distachyos;Kaapse waterlelie
220011728;2703041;1019215;Arundo donax L.;Arundo donax;Arundo donax;pijlriet
220011729;3170247;1030142;Asclepias syriaca L.;Asclepias syriaca;Asclepias syriaca;zijdeplant
220011730;2650107;1246360;Azolla filiculoides Lam.;Azolla filiculoides;Azolla filiculoides;grote kroosvaren
220011731;3129663;1254694;Baccharis halimifolia L.;Baccharis halimifolia;Baccharis halimifolia;struikaster
220011732;2882443;1755435;Cabomba caroliniana A.Gray;Cabomba caroliniana;Cabomba caroliniana;waterwaaier
220011733;3084841;159423600;Carpobrotus N.E.Br.;Carpobrotus;NA;hottentotvijg
220011734;3025617;2932752;Cotoneaster horizontalis Decne.;Cotoneaster horizontalis;Cotoneaster horizontalis;vlakke dwergmispel
220011735;5329260;3840381;Egeria densa Planch.;Egeria densa;Egeria densa;egeria
220011736;2765940;3844232;Eichhornia crassipes (Mart.) Solms;Eichhornia crassipes;Eichhornia crassipes;waterhyacint
220011737;3039269;3853120;Elaeagnus angustifolia L.;Elaeagnus angustifolia;Elaeagnus angustifolia;smalle olijfwilg
220011738;2865448;3896619;Elodea canadensis Michx.;Elodea canadensis;Elodea canadensis;brede waterpest
220011739;5329212;3896846;Elodea nuttallii (Planch.) H.St.John;Elodea nuttallii;Elodea nuttallii;smalle waterpest
220011740;5334351;4403085;Fallopia baldschuanica (Regel) Holub;Fallopia baldschuanica;Fallopia baldschuanica;Chinese bruidssluier
220011741;3172348;4514689;Fraxinus pennsylvanica Marshall;Fraxinus pennsylvanica;Fraxinus pennsylvanica;zachte es
220011742;6063677;4887170;Gymnocoronis spilanthoides DC.;Gymnocoronis spilanthoides;Gymnocoronis spilanthoides;smalle theeplant
220011743;3119175;5054617;Helianthus tuberosus L.;Helianthus tuberosus;Helianthus tuberosus;aardpeer
220011744;3119181;5054924;Helianthus ×laetiflorus Pers.;Helianthus laetiflorus;Helianthus laetiflorus;stijve zonnebloem
220011745;3034825;5142245;Heracleum mantegazzianum Sommier & Levier;Heracleum mantegazzianum;Heracleum mantegazzianum;reuzenberenklauw
220011746;5329570;5381498;Hydrilla verticillata (L.f.) Royle;Hydrilla verticillata;Hydrilla verticillata;hydrilla
220011747;7978544;41039266;Hydrocotyle ranunculoides L.fil.;Hydrocotyle ranunculoides;Hydrocotyle ranunculoides;grote waternavel
220011748;2891774;5562677;Impatiens capensis Meerb.;Impatiens capensis;Impatiens capensis;oranje springzaad
220011749;2891770;5564672;Impatiens glandulifera Royle;Impatiens glandulifera;Impatiens glandulifera;reuzenbalsemien
220011750;8848208;5894118;Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal;Koenigia polystachya;Koenigia polystachya;Afghaanse duizendknoop
220011751;5356345;5928024;Laburnum anagyroides Medik.;Laburnum anagyroides;Laburnum anagyroides;goudenregen
