date,download_key,doi,record_count,file
2025-07-28,0060430-250717081556266,10.15468/dl.2my6n7,305107,gbif_download_2025-07-28_0060430-250717081556266.zip
2025-07-28,0060706-250717081556266,10.15468/dl.85edq2,305107,gbif_download_2025-07-28_0060706-250717081556266.zip
2025-07-28,0060848-250717081556266,10.15468/dl.9xzzx6,305107,gbif_download_2025-07-28_0060848-250717081556266.zip
2025-07-29,0067697-250717081556266,10.15468/dl.z97fn3,305107,gbif_download_2025-07-29_0067697-250717081556266.zip
2025-10-27,0002219-251025141854904,10.15468/dl.22fdjm,331353,gbif_download_2025-10-27_0002219-251025141854904.zip
2025-10-27,0002386-251025141854904,10.15468/dl.q67aav,331353,gbif_download_2025-10-27_0002386-251025141854904.zip
2025-10-27,0002474-251025141854904,10.15468/dl.3hdz32,331353,gbif_download_2025-10-27_0002474-251025141854904.zip
2025-10-31,0009596-251025141854904,10.15468/dl.5zc875,332522,gbif_download_2025-10-31_0009596-251025141854904.zip
2025-10-31,0009639-251025141854904,10.15468/dl.32stf9,332522,gbif_download_2025-10-31_0009639-251025141854904.zip
2025-11-03,0012278-251025141854904,10.15468/dl.bfxuay,332524,gbif_download_2025-11-03_0012278-251025141854904.zip
2025-11-10,0024395-251025141854904,10.15468/dl.uk3nj9,333290,gbif_download_2025-11-10_0024395-251025141854904.zip
2025-11-17,0038493-251025141854904,10.15468/dl.4c2t3c,333837,gbif_download_2025-11-17_0038493-251025141854904.zip
2025-11-24,0005092-251120083545085,10.15468/dl.y48vyk,334203,gbif_download_2025-11-24_0005092-251120083545085.zip
2025-12-01,0019777-251120083545085,10.15468/dl.4b64te,334366,gbif_download_2025-12-01_0019777-251120083545085.zip
2025-12-08,0036609-251120083545085,10.15468/dl.tekpa3,334664,gbif_download_2025-12-08_0036609-251120083545085.zip
2025-12-15,0053020-251120083545085,10.15468/dl.y3tgxw,334805,gbif_download_2025-12-15_0053020-251120083545085.zip
2025-12-22,0062700-251120083545085,10.15468/dl.kzht8h,334991,gbif_download_2025-12-22_0062700-251120083545085.zip
2025-12-29,0068252-251120083545085,10.15468/dl.z5678r,335145,gbif_download_2025-12-29_0068252-251120083545085.zip
2026-01-05,0074207-251120083545085,10.15468/dl.fmw76y,335265,gbif_download_2026-01-05_0074207-251120083545085.zip
2026-01-12,0003390-260108223611665,10.15468/dl.k7bvsp,336871,gbif_download_2026-01-12_0003390-260108223611665.zip
2026-01-19,0019564-260108223611665,10.15468/dl.3qapzz,336819,gbif_download_2026-01-19_0019564-260108223611665.zip
2026-01-26,0011803-260120142942310,10.15468/dl.j7edsm,336683,gbif_download_2026-01-26_0011803-260120142942310.zip
2026-02-02,0006419-260129131611470,10.15468/dl.pds7qx,350706,gbif_download_2026-02-02_0006419-260129131611470.zip
